         48203 function calls (42803 primitive calls) in 0.401 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      143    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       39    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       30    0.000    0.000    0.000    0.000 Game.py:124(<setcomp>)
       15    0.000    0.000    0.005    0.000 __init__.py:1412(debug)
       63    0.000    0.000    0.000    0.000 Game.py:196(<listcomp>)
        3    0.000    0.000    0.001    0.000 Game.py:122(fantom_scream)
        3    0.000    0.000    0.393    0.131 Game.py:101(actions)
       15    0.000    0.000    0.000    0.000 encoder.py:259(_make_iterencode)
      285    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        3    0.000    0.000    0.399    0.133 Game.py:142(tour)
       39    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       39    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        9    0.000    0.000    0.000    0.000 Game.py:179(__repr__)
      143    0.000    0.000    0.000    0.000 codecs.py:214(setstate)
       34    0.000    0.000    0.000    0.000 random.py:250(_randbelow_with_getrandbits)
        4    0.000    0.000    0.000    0.000 random.py:293(shuffle)
        3    0.000    0.000    0.000    0.000 Game.py:123(<listcomp>)
       39    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
       15    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.400    0.400 Game.py:155(lancer)
       11    0.000    0.000    0.000    0.000 Player.py:316(<setcomp>)
        1    0.000    0.000    0.001    0.001 Game.py:29(__init__)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x7fe7f9279160}
        3    0.000    0.000    0.000    0.000 random.py:285(choice)
       78    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       34    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
        1    0.000    0.000    0.000    0.000 Player.py:231(<listcomp>)
       12    0.000    0.000    0.000    0.000 Player.py:87(<listcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:492(_real_close)
        3    0.000    0.000    0.000    0.000 Game.py:140(<listcomp>)
       46    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 Player.py:221(<listcomp>)
        8    0.000    0.000    0.000    0.000 Player.py:151(<setcomp>)
        1    0.000    0.000    0.000    0.000 socket.py:496(close)
        1    0.000    0.000    0.000    0.000 Game.py:42(<setcomp>)
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        3    0.000    0.000    0.000    0.000 Game.py:162(<listcomp>)
        8    0.000    0.000    0.000    0.000 Character.py:13(__init__)
        1    0.000    0.000    0.000    0.000 Game.py:80(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 random.py:200(randrange)
        1    0.000    0.000    0.000    0.000 Game.py:84(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.000    0.000 Game.py:86(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}


